Name,Rank,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Sales_log,EU_Sales_log,JP_Sales_log,Other_Sales_log,Global_Sales_log,Is_Japan_Hit
LEGO The Hobbit,6364,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.12,0.0,0.02,0.27,0.12221763272424921,0.11332868530700317,0.0,0.019802627296179712,0.23901690047049992,0
WipEout Fusion,6672,PS2,2002,Racing,Sony Computer Entertainment,0.12,0.1,0.0,0.03,0.25,0.11332868530700317,0.09531017980432487,0.0,0.0295588022415444,0.22314355131420976,0
F1 2000,6735,PS,2000,Racing,Electronic Arts,0.14,0.09,0.0,0.02,0.25,0.1310282624064041,0.08617769624105233,0.0,0.019802627296179712,0.22314355131420976,0
Shin Nippon Pro Wrestling: Toukon Retsuden 3,7125,PS,1998,Fighting,Tomy Corporation,0.0,0.0,0.21,0.01,0.23,0.0,0.0,0.1906203596086497,0.009950330853168083,0.20701416938432615,0
Dark Souls II,7163,XOne,2015,Role-Playing,Namco Bandai Games,0.13,0.07,0.0,0.02,0.22,0.12221763272424921,0.06765864847381481,0.0,0.019802627296179712,0.1988508587451652,0
MVP Baseball,7369,PSP,2005,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.21,0.18232155679395462,0.0,0.0,0.019802627296179712,0.1906203596086497,0
Battle of Giants: Dinosaurs Strike,7498,Wii,2010,Strategy,Ubisoft,0.15,0.04,0.0,0.02,0.2,0.13976194237515868,0.039220713153281295,0.0,0.019802627296179712,0.18232155679395462,0
Story of Seasons: Good Friends of the Three Villages,7814,3DS,2016,Simulation,Marvelous Interactive,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.173953307123438,0.0,0.173953307123438,0
Naruto: Ninja Destiny,7838,DS,2006,Fighting,Namco Bandai Games,0.02,0.01,0.16,0.0,0.19,0.019802627296179712,0.009950330853168083,0.14842000511827327,0.0,0.173953307123438,0
Gungrave,7898,PS2,2002,Shooter,Activision,0.09,0.07,0.0,0.02,0.19,0.08617769624105233,0.06765864847381481,0.0,0.019802627296179712,0.173953307123438,0
Penguin no Mondai X: Tenkuu no 7 Senshi,7957,DS,2009,Action,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.173953307123438,0.0,0.173953307123438,0
Sesame Street: Elmo's Letter Adventure,8100,N64,1999,Misc,NewKidCo,0.14,0.04,0.0,0.0,0.18,0.1310282624064041,0.039220713153281295,0.0,0.0,0.16551443847757338,0
Sonic Riders: Zero Gravity,8177,PS2,2008,Racing,Sega,0.09,0.07,0.0,0.02,0.18,0.08617769624105233,0.06765864847381481,0.0,0.019802627296179712,0.16551443847757338,0
Major League Baseball 2K9,8243,PS3,2009,Sports,Spike,0.16,0.0,0.0,0.01,0.17,0.14842000511827327,0.0,0.0,0.009950330853168083,0.15700374880966475,0
Tak: The Great Juju Challenge,8310,GBA,2005,Platform,THQ,0.12,0.05,0.0,0.0,0.17,0.11332868530700317,0.04879016416943201,0.0,0.0,0.15700374880966475,0
Mr. Do!'s Castle,8459,2600,1983,Action,Parker Bros.,0.15,0.01,0.0,0.0,0.17,0.13976194237515868,0.009950330853168083,0.0,0.0,0.15700374880966475,0
Alien Resurrection,8478,PS,2000,Shooter,Fox Interactive,0.09,0.06,0.0,0.01,0.16,0.08617769624105233,0.058268908123975775,0.0,0.009950330853168083,0.14842000511827327,0
Doctor Who: Evacuation Earth,8573,DS,2010,Adventure,Asylum Entertainment,0.0,0.14,0.0,0.02,0.16,0.0,0.1310282624064041,0.0,0.019802627296179712,0.14842000511827327,0
Marvel Super Hero Squad: The Infinity Gauntlet,8790,X360,2010,Action,THQ,0.12,0.02,0.0,0.01,0.15,0.11332868530700317,0.019802627296179712,0.0,0.009950330853168083,0.13976194237515868,0
Tiger Woods PGA Tour,8981,DS,2004,Sports,Electronic Arts,0.13,0.0,0.0,0.01,0.15,0.12221763272424921,0.0,0.0,0.009950330853168083,0.13976194237515868,0
The Legend of Heroes II: Prophecy of the Moonlight Witch,9084,PSP,2004,Role-Playing,Namco Bandai Games,0.03,0.0,0.11,0.0,0.14,0.0295588022415444,0.0,0.10436001532424277,0.0,0.1310282624064041,0
Suikoden: Tsumugareshi Hyakunen no Toki,9354,PSP,2012,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.12221763272424921,0.0,0.12221763272424921,0
Shaman King: Power of Spirit,9438,PS2,2004,Adventure,Konami Digital Entertainment,0.06,0.05,0.0,0.02,0.13,0.058268908123975775,0.04879016416943201,0.0,0.019802627296179712,0.12221763272424921,0
Namco Soccer Prime Goal,9538,PS,1995,Sports,Sony Computer Entertainment,0.0,0.0,0.12,0.01,0.13,0.0,0.0,0.11332868530700317,0.009950330853168083,0.12221763272424921,0
Brunswick Circuit Pro Bowling 2,10417,PS,2000,Sports,THQ,0.06,0.04,0.0,0.01,0.11,0.058268908123975775,0.039220713153281295,0.0,0.009950330853168083,0.10436001532424277,0
Blitz: The League II,10511,X360,2008,Sports,Midway Games,0.08,0.01,0.0,0.01,0.1,0.07696104113612832,0.009950330853168083,0.0,0.009950330853168083,0.09531017980432487,0
Bejeweled Twist,10605,DS,2010,Puzzle,PopCap Games,0.0,0.09,0.0,0.01,0.1,0.0,0.08617769624105233,0.0,0.009950330853168083,0.09531017980432487,0
Van Helsing,10609,GBA,2004,Action,Activision,0.07,0.03,0.0,0.0,0.1,0.06765864847381481,0.0295588022415444,0.0,0.0,0.09531017980432487,0
Burnout Paradise: The Ultimate Box,11095,PS3,2009,Racing,Electronic Arts,0.0,0.06,0.01,0.02,0.09,0.0,0.058268908123975775,0.009950330853168083,0.019802627296179712,0.08617769624105233,0
The History Channel: Battle for the Pacific,11760,PS3,2008,Shooter,Activision,0.07,0.0,0.0,0.01,0.07,0.06765864847381481,0.0,0.0,0.009950330853168083,0.06765864847381481,0
I-Ninja,11819,XB,2003,Platform,Namco Bandai Games,0.05,0.02,0.0,0.0,0.07,0.04879016416943201,0.019802627296179712,0.0,0.0,0.06765864847381481,0
Serious Sam: Next Encounter,11890,PS2,2004,Shooter,Global Star,0.04,0.03,0.0,0.01,0.07,0.039220713153281295,0.0295588022415444,0.0,0.009950330853168083,0.06765864847381481,0
Kane & Lynch 2: Dog Days,11933,PC,2010,Shooter,Square Enix,0.0,0.06,0.0,0.01,0.07,0.0,0.058268908123975775,0.0,0.009950330853168083,0.06765864847381481,0
Sudoku Fever,12104,GBA,2006,Puzzle,Take-Two Interactive,0.05,0.02,0.0,0.0,0.07,0.04879016416943201,0.019802627296179712,0.0,0.0,0.06765864847381481,0
Worms 3D,12201,GC,2003,Strategy,Sega,0.05,0.01,0.0,0.0,0.07,0.04879016416943201,0.009950330853168083,0.0,0.0,0.06765864847381481,0
Worms Forts: Under Siege,12227,XB,2004,Strategy,Sega,0.05,0.01,0.0,0.0,0.07,0.04879016416943201,0.009950330853168083,0.0,0.0,0.06765864847381481,0
Aggressive Inline,12284,XB,2002,Sports,Acclaim Entertainment,0.05,0.01,0.0,0.0,0.06,0.04879016416943201,0.009950330853168083,0.0,0.0,0.058268908123975775,0
DreamWorks Super Star Kartz,12429,X360,2011,Racing,Activision,0.05,0.01,0.0,0.0,0.06,0.04879016416943201,0.009950330853168083,0.0,0.0,0.058268908123975775,0
Warriors of the Lost Empire,12473,PSP,2007,Role-Playing,Mercury Games,0.05,0.0,0.0,0.01,0.06,0.04879016416943201,0.0,0.0,0.009950330853168083,0.058268908123975775,0
Fate/Stay Night [Réalta Nua],12756,PSV,2012,Adventure,Kadokawa Shoten,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.058268908123975775,0.0,0.058268908123975775,0
The Bureau: XCOM Declassified,12954,PC,2013,Shooter,Take-Two Interactive,0.0,0.05,0.0,0.01,0.05,0.0,0.04879016416943201,0.0,0.009950330853168083,0.04879016416943201,0
Brave Story: New Traveller (jp sales),13411,PSP,2006,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.04879016416943201,0.0,0.04879016416943201,0
IL-2 Sturmovik: 1946,13506,PC,2006,Simulation,Ubisoft,0.0,0.04,0.0,0.01,0.04,0.0,0.039220713153281295,0.0,0.009950330853168083,0.039220713153281295,0
Get Up and Dance,13554,PS3,2011,Misc,O-Games,0.03,0.01,0.0,0.0,0.04,0.0295588022415444,0.009950330853168083,0.0,0.0,0.039220713153281295,0
Chaos;Head - Love Chu*Chu!,13687,PSP,2011,Adventure,5pb,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.039220713153281295,0.0,0.039220713153281295,0
Paws & Claws: Regal Resort,13689,DS,2010,Simulation,THQ,0.04,0.0,0.0,0.0,0.04,0.039220713153281295,0.0,0.0,0.0,0.039220713153281295,0
Battle Spirits: Digital Starter,13693,DS,2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.039220713153281295,0.0,0.039220713153281295,0
The Idolm@ster: Must Songs - Red Board / Blue Board,13938,PSV,2015,Misc,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.039220713153281295,0.0,0.039220713153281295,0
Dungeon Maker: Hunting Ground,14365,PSP,2006,Role-Playing,Global A Entertainment,0.03,0.0,0.0,0.0,0.03,0.0295588022415444,0.0,0.0,0.0,0.0295588022415444,0
S.Y.K Renshouden,14512,PS2,2010,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0295588022415444,0.0,0.0295588022415444,0
Dave Mirra Freestyle BMX 3,14734,GBA,2002,Sports,Acclaim Entertainment,0.02,0.01,0.0,0.0,0.03,0.019802627296179712,0.009950330853168083,0.0,0.0,0.0295588022415444,0
Drome Racers,14883,GBA,2003,Racing,THQ,0.02,0.01,0.0,0.0,0.03,0.019802627296179712,0.009950330853168083,0.0,0.0,0.0295588022415444,0
Valentino Rossi: The Game,15206,XOne,2016,Racing,Namco Bandai Games,0.0,0.02,0.0,0.0,0.02,0.0,0.019802627296179712,0.0,0.0,0.019802627296179712,0
GunParade Orchestra: Midori no Shou,15246,PS2,2006,Adventure,Sony Computer Entertainment,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.019802627296179712,0.0,0.019802627296179712,0
Detective Jinguuji Saburo: Ronde Revenge,15297,3DS,2012,Action,Arc System Works,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.019802627296179712,0.0,0.019802627296179712,0
Meikyuu Cross Blood: Reloaded,15326,X360,2011,Action,Unknown,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.019802627296179712,0.0,0.019802627296179712,0
Aria: The Natural ~Tooi Yume no Mirage~,15331,PS2,2006,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.019802627296179712,0.0,0.019802627296179712,0
Gon: BakuBakuBakuBaku Adventure,15558,3DS,2012,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.019802627296179712,0.0,0.019802627296179712,0
Top Gear RPM Tuning,15737,XB,2005,Racing,Wanadoo,0.01,0.0,0.0,0.0,0.02,0.009950330853168083,0.0,0.0,0.0,0.019802627296179712,0
Durarara!! Relay,16306,PSV,2015,Action,Kadokawa Games,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.009950330853168083,0.0,0.009950330853168083,0
The Legend of Zelda: Twilight Princess,101,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,1.5748464676644813,1.1600209167967532,0.4700036292457356,0.5306282510621704,2.1174596088673567,0
Sonic Heroes,481,PS2,2003,Platform,Sega,1.04,1.37,0.06,0.49,2.96,0.712949807856125,0.8628899551470399,0.058268908123975775,0.3987761199573678,1.3762440252663892,0
Super Mario Bros.: The Lost Levels,574,NES,1986,Platform,Nintendo,0.0,0.0,2.65,0.0,2.65,0.0,0.0,1.2947271675944,0.0,1.2947271675944,1
MX Unleashed,901,PS2,2004,Racing,THQ,0.94,0.73,0.0,0.25,1.92,0.6626879730752367,0.5481214085096876,0.0,0.22314355131420976,1.0715836162801904,0
NBA Ballers,1104,PS2,2004,Sports,Midway Games,0.81,0.63,0.0,0.21,1.66,0.5933268452777344,0.48858001481867097,0.0,0.1906203596086497,0.9783261227936076,0
Mario Superstar Baseball,1310,GC,2005,Sports,Nintendo,0.93,0.24,0.25,0.04,1.46,0.6575200029167942,0.2151113796169455,0.22314355131420976,0.039220713153281295,0.9001613499442714,0
Resident Evil (Remake),1365,GC,2002,Action,Capcom,0.63,0.38,0.35,0.05,1.42,0.48858001481867097,0.32208349916911333,0.30010459245033805,0.04879016416943201,0.8837675401685949,0
EA Sports Active 2,1524,Wii,2010,Sports,Electronic Arts,0.78,0.4,0.0,0.11,1.3,0.5766133643039938,0.33647223662121295,0.0,0.10436001532424277,0.832909122935104,0
Crash Bandicoot: The Wrath of Cortex,1616,XB,2002,Platform,Universal Interactive,0.59,0.57,0.0,0.07,1.23,0.46373401623214017,0.4510756193602167,0.0,0.06765864847381481,0.8020015854720274,0
Madden NFL 07,2039,XB,2006,Sports,Electronic Arts,0.97,0.03,0.0,0.03,1.02,0.6780335427498971,0.0295588022415444,0.0,0.0295588022415444,0.7030975114131134,0
Sonic & Sega All-Stars Racing,2112,PS3,2010,Racing,Sega,0.36,0.46,0.0,0.17,0.98,0.3074846997479606,0.3784364357202451,0.0,0.15700374880966475,0.6830968447064438,0
Burnout Legends,2444,PSP,2005,Racing,Electronic Arts,0.7,0.06,0.0,0.09,0.85,0.5306282510621704,0.058268908123975775,0.0,0.08617769624105233,0.6151856390902335,0
Caesars Palace 2000: Millennium Gold Edition,2664,PS,2000,Misc,Interplay,0.43,0.29,0.0,0.05,0.77,0.3576744442718159,0.2546422183735807,0.0,0.04879016416943201,0.5709795465857378,0
Raving Rabbids: Travel in Time,2691,Wii,2010,Adventure,Ubisoft,0.22,0.47,0.0,0.08,0.76,0.1988508587451652,0.3852624007906449,0.0,0.07696104113612832,0.5653138090500605,0
Harvest Moon DS: Island of Happiness,2793,DS,2007,Simulation,Rising Star Games,0.44,0.01,0.25,0.04,0.74,0.36464311358790924,0.009950330853168083,0.22314355131420976,0.039220713153281295,0.5538851132264376,0
Ben 10: Protector of Earth,2847,PSP,2007,Action,D3Publisher,0.23,0.31,0.0,0.18,0.72,0.20701416938432615,0.27002713721306015,0.0,0.16551443847757338,0.5423242908253616,0
One Piece: Pirate Warriors 2,2962,PS3,2013,Action,Namco Bandai Games,0.0,0.2,0.42,0.07,0.69,0.0,0.18232155679395462,0.35065687161316933,0.06765864847381481,0.5247285289349821,0
Darkstone,3061,PS,2001,Role-Playing,Electronic Arts,0.37,0.25,0.0,0.04,0.66,0.31481073984003355,0.22314355131420976,0.0,0.039220713153281295,0.5068176023684519,0
Crash of the Titans,3140,PSP,2007,Action,Vivendi Games,0.25,0.25,0.0,0.15,0.64,0.22314355131420976,0.22314355131420976,0.0,0.13976194237515868,0.49469624183610705,0
Winning Post,3784,SNES,1993,Sports,Tecmo Koei,0.0,0.0,0.53,0.0,0.53,0.0,0.0,0.4252677354043441,0.0,0.4252677354043441,0
Deadpool,4265,X360,2013,Action,Activision,0.26,0.16,0.0,0.04,0.46,0.23111172096338664,0.14842000511827327,0.0,0.039220713153281295,0.3784364357202451,0
Mega Man Anniversary Collection,4634,GC,2004,Platform,Capcom,0.32,0.08,0.0,0.01,0.42,0.2776317365982795,0.07696104113612832,0.0,0.009950330853168083,0.35065687161316933,0
Spider-Man: Friend or Foe,5121,PS2,2007,Action,Activision,0.31,0.01,0.0,0.05,0.37,0.27002713721306015,0.009950330853168083,0.0,0.04879016416943201,0.31481073984003355,0
Harry Potter and the Order of the Phoenix,5133,PSP,2007,Action,Electronic Arts,0.1,0.17,0.0,0.1,0.37,0.09531017980432487,0.15700374880966475,0.0,0.09531017980432487,0.31481073984003355,0
Speed Racer: The Videogame,5199,DS,2008,Racing,Warner Bros. Interactive Entertainment,0.29,0.05,0.0,0.03,0.36,0.2546422183735807,0.04879016416943201,0.0,0.0295588022415444,0.3074846997479606,0
Fishing Master,5710,Wii,2007,Misc,Konami Digital Entertainment,0.29,0.0,0.0,0.02,0.31,0.2546422183735807,0.0,0.0,0.019802627296179712,0.27002713721306015,0
Mission: Impossible - Operation Surma,6178,PS2,2003,Platform,Atari,0.14,0.11,0.0,0.04,0.28,0.1310282624064041,0.10436001532424277,0.0,0.039220713153281295,0.2468600779315258,0
Marvel Super Hero Squad: The Infinity Gauntlet,6248,Wii,2010,Action,THQ,0.22,0.04,0.0,0.02,0.28,0.1988508587451652,0.039220713153281295,0.0,0.019802627296179712,0.2468600779315258,0
Duel Masters,6418,PS2,2004,Strategy,Atari,0.13,0.1,0.0,0.03,0.27,0.12221763272424921,0.09531017980432487,0.0,0.0295588022415444,0.23901690047049992,0
Driver '76,6763,PSP,2007,Racing,Ubisoft,0.03,0.14,0.0,0.08,0.25,0.0295588022415444,0.1310282624064041,0.0,0.07696104113612832,0.22314355131420976,0
Metro 2033,6839,PC,2010,Shooter,THQ,0.0,0.19,0.0,0.05,0.24,0.0,0.173953307123438,0.0,0.04879016416943201,0.2151113796169455,0
Ashes Cricket 2009,6882,Wii,2009,Sports,Codemasters,0.0,0.23,0.0,0.01,0.24,0.0,0.20701416938432615,0.0,0.009950330853168083,0.2151113796169455,0
Cabela's Outdoor Adventures (2009),7057,PS3,2009,Sports,Activision Value,0.21,0.0,0.0,0.02,0.23,0.1906203596086497,0.0,0.0,0.019802627296179712,0.20701416938432615,0
Capcom vs. SNK,7252,DC,2000,Fighting,Virgin Interactive,0.0,0.0,0.22,0.0,0.22,0.0,0.0,0.1988508587451652,0.0,0.1988508587451652,0
Lords of the Fallen,7313,XOne,2014,Role-Playing,Square Enix,0.1,0.1,0.0,0.02,0.22,0.09531017980432487,0.09531017980432487,0.0,0.019802627296179712,0.1988508587451652,0
Dragon Ball Z: Idainaru Dragon Ball Densetsu,7747,PS,1996,Fighting,Namco Bandai Games,0.0,0.0,0.18,0.01,0.19,0.0,0.0,0.16551443847757338,0.009950330853168083,0.173953307123438,0
uDraw Studio: Instant Artist,7837,Wii,2011,Misc,THQ,0.08,0.09,0.0,0.02,0.19,0.07696104113612832,0.08617769624105233,0.0,0.019802627296179712,0.173953307123438,0
We Dance,7937,Wii,2011,Misc,Nordic Games,0.0,0.17,0.0,0.02,0.19,0.0,0.15700374880966475,0.0,0.019802627296179712,0.173953307123438,0
La Pucelle: Tactics,7983,PS2,2002,Role-Playing,Tecmo Koei,0.09,0.07,0.0,0.02,0.19,0.08617769624105233,0.06765864847381481,0.0,0.019802627296179712,0.173953307123438,0
Ashes Cricket 2009,8211,PS3,2009,Sports,Codemasters,0.0,0.16,0.0,0.02,0.17,0.0,0.14842000511827327,0.0,0.019802627296179712,0.15700374880966475,0
Ford Racing 2,8873,XB,2003,Racing,Empire Interactive,0.11,0.03,0.0,0.01,0.15,0.10436001532424277,0.0295588022415444,0.0,0.009950330853168083,0.13976194237515868,0
Teenage Mutant Ninja Turtles: Danger of the Ooze,9408,3DS,2014,Adventure,Activision,0.08,0.04,0.0,0.01,0.13,0.07696104113612832,0.039220713153281295,0.0,0.009950330853168083,0.12221763272424921,0
SSX 3,9790,GBA,2003,Sports,Electronic Arts,0.09,0.03,0.0,0.0,0.12,0.08617769624105233,0.0295588022415444,0.0,0.0,0.11332868530700317,0
Burning Road,9845,PS,1996,Racing,FunSoft,0.07,0.05,0.0,0.01,0.12,0.06765864847381481,0.04879016416943201,0.0,0.009950330853168083,0.11332868530700317,0
Touch Detective 2 1/2,10245,DS,2007,Adventure,505 Games,0.09,0.0,0.01,0.01,0.11,0.08617769624105233,0.0,0.009950330853168083,0.009950330853168083,0.10436001532424277,0
Risen 3: Titan Lords,10501,PS3,2014,Role-Playing,Deep Silver,0.02,0.06,0.0,0.02,0.1,0.019802627296179712,0.058268908123975775,0.0,0.019802627296179712,0.09531017980432487,0
Urban Chaos,10549,PS,1999,Action,Eidos Interactive,0.06,0.04,0.0,0.01,0.1,0.058268908123975775,0.039220713153281295,0.0,0.009950330853168083,0.09531017980432487,0
Disney's The Jungle Book,10647,GBA,2002,Platform,Ubisoft,0.07,0.03,0.0,0.0,0.1,0.06765864847381481,0.0295588022415444,0.0,0.0,0.09531017980432487,0
Pony Friends 2,10789,Wii,2009,Simulation,Eidos Interactive,0.04,0.05,0.0,0.01,0.1,0.039220713153281295,0.04879016416943201,0.0,0.009950330853168083,0.09531017980432487,0
Jikkyou Powerful Pro Yakyuu 14 Ketteiban,10993,PS2,2007,Sports,Konami Digital Entertainment,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.08617769624105233,0.0,0.08617769624105233,0
Kurikin: Nano Island Story,11118,DS,2007,Role-Playing,Nintendo,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.08617769624105233,0.0,0.08617769624105233,0
TimeSplitters: Future Perfect,11493,GC,2005,Shooter,Electronic Arts,0.06,0.02,0.0,0.0,0.08,0.058268908123975775,0.019802627296179712,0.0,0.0,0.07696104113612832,0
Momotarou Dentetsu 11,11644,GC,2002,Misc,Hudson Soft,0.0,0.0,0.07,0.0,0.08,0.0,0.0,0.06765864847381481,0.0,0.07696104113612832,0
Legend of the Guardians: The Owls of Ga'Hoole,11668,X360,2010,Action,Warner Bros. Interactive Entertainment,0.06,0.01,0.0,0.01,0.08,0.058268908123975775,0.009950330853168083,0.0,0.009950330853168083,0.07696104113612832,0
AKB1/149: Love Election,11745,PSV,2012,Adventure,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.06765864847381481,0.0,0.06765864847381481,0
Kessen III,11822,PS2,2004,Strategy,Tecmo Koei,0.04,0.03,0.0,0.01,0.07,0.039220713153281295,0.0295588022415444,0.0,0.009950330853168083,0.06765864847381481,0
Higurashi no Nakukoru ni Kizuna: Dai-Ichi-Kan - Tatari,12025,DS,2008,Adventure,Alchemist,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.06765864847381481,0.0,0.06765864847381481,0
Katekyoo Hitman Reborn! DS: Fate of Heat - Hono no Unmei,12123,DS,2008,Role-Playing,Takara Tomy,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.06765864847381481,0.0,0.06765864847381481,0
Super Mahjong 2: Honkaku 4Jin Uchi,12291,SNES,1993,Misc,Imax,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.058268908123975775,0.0,0.058268908123975775,0
GunGriffon II,12326,SAT,1998,Simulation,ESP,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.058268908123975775,0.0,0.058268908123975775,0
The Amazing Spider-Man 2 (2014),12370,3DS,2014,Action,Activision,0.03,0.03,0.0,0.0,0.06,0.0295588022415444,0.0295588022415444,0.0,0.0,0.058268908123975775,0
Nobunaga no Yabou: Souzou,12807,PS4,2014,Strategy,Tecmo Koei,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.058268908123975775,0.0,0.058268908123975775,0
NHL Legacy,12832,X360,2015,Action,Electronic Arts,0.05,0.0,0.0,0.01,0.05,0.04879016416943201,0.0,0.0,0.009950330853168083,0.04879016416943201,0
Black Mirror 2,13376,PC,2009,Adventure,DTP Entertainment,0.0,0.04,0.0,0.01,0.05,0.0,0.039220713153281295,0.0,0.009950330853168083,0.04879016416943201,0
Centipede: Infestation,13407,3DS,2011,Shooter,Atari,0.04,0.0,0.0,0.0,0.05,0.039220713153281295,0.0,0.0,0.0,0.04879016416943201,0
The Kore Gang,13576,Wii,2010,Platform,Flashpoint Games,0.04,0.0,0.0,0.0,0.04,0.039220713153281295,0.0,0.0,0.0,0.039220713153281295,0
Art of Fighting 3: The Path of the Warrior,13916,NG,1996,Fighting,SNK,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.039220713153281295,0.0,0.039220713153281295,0
Simple DS Series Vol. 8: The Kanshikikan - Kinkyuu Shutsudou!! Jiken Genba wo Touch Seyo,14159,DS,2006,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0295588022415444,0.0,0.0295588022415444,0
SBK 2011: FIM Superbike World Championship,14264,PC,2011,Racing,Black Bean Games,0.0,0.03,0.0,0.01,0.03,0.0,0.0295588022415444,0.0,0.009950330853168083,0.0295588022415444,0
Medarot 9: Kabuto Ver. / Kuwagata Ver.,14294,3DS,2015,Role-Playing,Rocket Company,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0295588022415444,0.0,0.0295588022415444,0
Terraria,14850,WiiU,2016,Action,505 Games,0.0,0.02,0.0,0.0,0.03,0.0,0.019802627296179712,0.0,0.0,0.0295588022415444,0
Shaman King: Chou Senjiryokketsu 3,15078,GBA,2002,Role-Playing,King Records,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.019802627296179712,0.0,0.019802627296179712,0
Motocross Mania 3,15402,XB,2005,Racing,Take-Two Interactive,0.01,0.0,0.0,0.0,0.02,0.009950330853168083,0.0,0.0,0.0,0.019802627296179712,0
The Crew: Wild Run,15615,XOne,2015,Action,Ubisoft,0.0,0.02,0.0,0.0,0.02,0.0,0.019802627296179712,0.0,0.0,0.019802627296179712,0
Canada Hunt,15652,Wii,2010,Sports,Virtual Play Games,0.02,0.0,0.0,0.0,0.02,0.019802627296179712,0.0,0.0,0.0,0.019802627296179712,0
Meiji Toukyou Renka: Twilight Kiss,15981,PSP,2015,Action,Broccoli,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.019802627296179712,0.0,0.019802627296179712,0
World Snooker Challenge 2005,16354,PSP,2005,Sports,Sega,0.0,0.01,0.0,0.0,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,0
Resident Evil 4 HD,16572,XOne,2016,Shooter,Capcom,0.01,0.0,0.0,0.0,0.01,0.009950330853168083,0.0,0.0,0.0,0.009950330853168083,0
Know How 2,16599,DS,2010,Puzzle,7G//AMES,0.0,0.01,0.0,0.0,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,0
Wii Play,8,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,2.710048203764883,2.322387720290225,1.3686394258811698,1.3480731482996928,3.401863826205316,1
Tomodachi Life,189,3DS,2013,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,0.6729444732424258,1.1052568313867783,1.0612565021243408,0.2468600779315258,1.8164520818184267,1
World Soccer Winning Eleven 7 International,498,PS2,2003,Sports,Konami Digital Entertainment,0.08,1.24,1.13,0.45,2.9,0.07696104113612832,0.8064758658669485,0.7561219797213337,0.37156355643248307,1.3609765531356006,1
Twisted Metal 2,632,PS,1996,Racing,Sony Computer Entertainment,2.12,0.25,0.0,0.07,2.44,1.1378330018213911,0.22314355131420976,0.0,0.06765864847381481,1.235471471385307,0
Kingdom Hearts: Birth by Sleep,811,PSP,2010,Role-Playing,Square Enix,0.63,0.42,0.75,0.26,2.07,0.48858001481867097,0.35065687161316933,0.5596157879354227,0.23111172096338664,1.1216775615991057,0
Guitar Hero: World Tour,888,PS3,2008,Misc,Activision,1.1,0.56,0.0,0.27,1.93,0.7419373447293773,0.44468582126144574,0.0,0.23901690047049992,1.0750024230289759,0
Red Faction,899,PS2,2001,Shooter,THQ,0.76,0.96,0.0,0.2,1.92,0.5653138090500605,0.6729444732424258,0.0,0.18232155679395462,1.0715836162801904,0
Pokemon Rumble Blast,1783,3DS,2011,Action,Nintendo,0.47,0.26,0.35,0.07,1.14,0.3852624007906449,0.23111172096338664,0.30010459245033805,0.06765864847381481,0.76080582903376,0
Need for Speed: ProStreet,1844,Wii,2007,Racing,Electronic Arts,0.54,0.46,0.0,0.12,1.11,0.43178241642553783,0.3784364357202451,0.0,0.11332868530700317,0.7466879474879752,0
